Date,Territory,Pair,Pre post trt,Fertilized,Territory width,Territory length,Territory horizontal area,Territory height,Surface area,Total Fish,Size class count,Fish size,Turf height 1,Turf height 2,Turf height 3,Turf height 4,Turf height 5
13-Jun,1,A,Pre-fertilization,Y,155,115,1.7825,57,7.343809128,6,4,12,0.4,0.3,1.4,0.7,0.4
13-Jun,1,A,Pre-fertilization,Y,155,115,1.7825,58,7.388430494,6,2,14,0.4,0.3,1.4,0.7,0.4
13-Jun,2,B,Pre-fertilization,Y,205,50,1.025,62,5.830207897,4,4,14,0.3,0.8,1.5,0.6,0.8
13-Jun,3,B,Pre-fertilization,N,120,90,1.08,46,4.504422253,1,1,16,0.3,1.4,1,1.3,0.4
13-Jun,4,C,Pre-fertilization,Y,182,130,2.366,73,10.14967421,4,3,14,0.3,1.7,0.7,1.4,0.3
13-Jun,4,C,Pre-fertilization,Y,182,130,2.366,73,10.14967421,4,1,12,0.3,1.7,0.7,1.4,0.3
13-Jun,5,C,Pre-fertilization,N,54,62,0.3348,32,1.518012665,1,1,14,0.3,0.4,0.6,0.6,0.4
14-Jun,6,D,Pre-fertilization,N,240,236,5.664,55,19.98756379,5,3,14,0.3,1.7,0.7,0.3,1.3
14-Jun,6,D,Pre-fertilization,N,240,236,5.664,55,19.98756379,5,1,12,0.3,1.7,0.7,0.3,1.3
14-Jun,6,D,Pre-fertilization,N,240,236,5.664,55,19.98756379,5,1,10,0.3,1.7,0.7,0.3,1.3
14-Jun,7,D,Pre-fertilization,Y,191,42,0.8022,60,4.962604193,1,1,16,0.4,0.4,0.8,1.1,0.4
14-Jun,8,E,Pre-fertilization,Y,105,86,0.903,53,4.117055756,3,1,12,1.8,0.7,0.9,1,1.4
14-Jun,8,E,Pre-fertilization,Y,105,86,0.903,64,4.50771521,3,1,14,1.8,0.7,0.9,1,1.4
14-Jun,8,E,Pre-fertilization,Y,105,86,0.903,64,4.50771521,3,1,10,1.8,0.7,0.9,1,1.4
14-Jun,9,E,Pre-fertilization,N,145,89,1.2905,56,5.674494373,3,2,15,0.5,0.8,1,0.8,0.5
14-Jun,9,E,Pre-fertilization,N,145,89,1.2905,56,5.674494373,3,1,13,0.5,0.8,1,0.8,0.5
14-Jun,10,F,Pre-fertilization,Y,109,60,0.654,56,3.42344194,1,1,14,0.4,0.6,0.7,0.7,0.7
14-Jun,11,F,Pre-fertilization,N,124,76,0.9424,52,4.293681138,3,2,14,0.5,1.2,0.5,0.5,0.3
14-Jun,11,F,Pre-fertilization,N,124,76,0.9424,52,4.293681138,3,1,15,0.5,1.2,0.5,0.5,0.3
15-Jun,12,G,Pre-fertilization,N,182,149,2.7118,43,9.790839766,5,5,13,0.3,0.4,0.4,0.4,0.3
15-Jun,13,G,Pre-fertilization,Y,125,96,1.2,39,4.665354308,3,2,14,0.6,0.7,0.3,0.7,0.7
15-Jun,13,G,Pre-fertilization,Y,125,96,1.2,39,4.665354308,3,1,13,0.6,0.7,0.3,0.7,0.7
15-Jun,14,H,Pre-fertilization,Y,100,77,0.77,55,3.717282013,4,1,16,0.3,1,0.6,0.3,0.4
15-Jun,14,H,Pre-fertilization,Y,100,77,0.77,55,3.717282013,4,1,14,0.3,1,0.6,0.3,0.4
