Date,Sampnum,Territory,Pair,Pre post trt,Fertilized,Replicate,Length,Width,Area,Weigh boat,Dry weight Atlanta,AFDW,Biomass
13-Jun,T1.1-B3,1,A,Pre-fertilization,Y,3,2.3,1.8,4.14,,1.184,1.0693,0.1147
13-Jun,T1.1-B2,1,A,Pre-fertilization,Y,2,1.5,1.2,1.8,,1.096,1.0611,0.0349
13-Jun,T1.1-B1,1,A,Pre-fertilization,Y,1,3,2.5,7.5,1.8834,2.2622,2.2075,0.0547
13-Jun,T2.1-B2,2,B,Pre-fertilization,Y,2,2.1,1.8,3.78,1.8855,2.067,2.0413,0.0257
13-Jun,T2.1-B1,2,B,Pre-fertilization,Y,1,3.1,2.4,7.44,1.8717,2.0284,1.9951,0.0333
13-Jun,T2.1-B3,2,B,Pre-fertilization,Y,3,2,1.5,3,1.8761,2.0115,2.0006,0.0109
13-Jun,T3.1-B3,3,B,Pre-fertilization,N,3,2,2,4,1.8852,2.1224,2.0764,0.046
13-Jun,T3.1-B2,3,B,Pre-fertilization,N,2,2.1,1.7,3.57,1.883,2.0095,1.992,0.0175
13-Jun,T3.1-B1,3,B,Pre-fertilization,N,1,5,2.1,10.5,1.8957,2.0899,2.0514,0.0385
13-Jun,T4.1-B2,4,C,Pre-fertilization,Y,2,1.1,1.2,1.32,1.894,1.9991,1.9744,0.0247
13-Jun,T4.1-B1,4,C,Pre-fertilization,Y,1,3.1,1.9,5.89,,1.0103,0.9805,0.0298
13-Jun,T4.1-B3,4,C,Pre-fertilization,Y,3,1.5,0.8,1.2,1.8776,1.9644,1.9618,0.0026
13-Jun,T5.1-B2,5,C,Pre-fertilization,N,2,2,0.7,1.4,1.8782,2.1152,2.0847,0.0305
13-Jun,T5.1-B1,5,C,Pre-fertilization,N,1,2.4,1.2,2.88,1.8832,2.1101,2.0755,0.0346
13-Jun,T5.1-B3,5,C,Pre-fertilization,N,3,2.5,2.6,6.5,1.9045,2.2739,2.2165,0.0574
14-Jun,T6.1-B2,6,D,Pre-fertilization,N,2,2,0.8,1.6,,1.1411,1.0971,0.044
14-Jun,T6.1-B3,6,D,Pre-fertilization,N,3,1.4,1.2,1.68,1.8893,2.0245,1.9917,0.0328
14-Jun,T6.1-B1,6,D,Pre-fertilization,N,1,3.1,2.6,8.06,1.8721,2.3415,2.2863,0.0552
14-Jun,T7.1-B3,7,D,Pre-fertilization,Y,3,2,1.7,3.4,1.8792,2.0192,1.9951,0.0241
14-Jun,T7.1-B2,7,D,Pre-fertilization,Y,2,2.4,3.4,8.16,,1.0055,0.9655,0.04
14-Jun,T7.1-B1,7,D,Pre-fertilization,Y,1,1.7,1.6,2.72,1.8792,1.9105,1.904,0.0065
14-Jun,T8.1-B3,8,E,Pre-fertilization,Y,3,0.5,2,1,1.8766,2.166,2.121,0.045
