Date,Territory,Pair,Pre post trt,Fertilized,Territory width,Territory length,Territory horizontal area,Territory height,Surface area,Fish no,Fish ID,Video view time,Time guarding,Prop guarding,Bites,Bite rate,Intra chases,Intra chase rate,Inter chases,Inter chase rate,Other fish bites
13-Jun,1,A,Pre-fertilization,Y,155,115,1.7825,58,7.388430494,1,1-1,1362,953,0.699706314,27,1.699895068,21,1.322140609,3,0.18887723,14
13-Jun,1,A,Pre-fertilization,Y,155,115,1.7825,58,7.388430494,2,1-2,1362,1177,0.864170338,7,0.356839422,33,1.682242991,6,0.305862362,0
13-Jun,1,A,Pre-fertilization,Y,155,115,1.7825,58,7.388430494,3,1-3,1362,1086,0.797356828,36,1.988950276,21,1.160220994,2,0.110497238,0
13-Jun,2,B,Pre-fertilization,Y,205,50,1.025,62,5.830207897,1,2-1,957,820,0.856844305,26,1.902439024,11,0.804878049,5,0.365853659,4
13-Jun,2,B,Pre-fertilization,Y,205,50,1.025,62,5.830207897,2,2-2,957,817,0.853709509,27,1.982864137,10,0.734394125,10,0.734394125,1
13-Jun,2,B,Pre-fertilization,Y,205,50,1.025,62,5.830207897,3,2-3,957,828,0.865203762,11,0.797101449,13,0.942028986,3,0.217391304,4
13-Jun,3,B,Pre-fertilization,N,120,90,1.08,46,4.504422253,1,3-1,1369,1012,0.739225712,31,1.837944664,11,0.652173913,13,0.770750988,0
13-Jun,3,B,Pre-fertilization,N,120,90,1.08,46,4.504422253,2,3-2,1369,777,0.567567568,26,2.007722008,3,0.231660232,7,0.540540541,0
13-Jun,4,C,Pre-fertilization,Y,182,130,2.366,73,10.14967421,1,4-1,1236,886,0.716828479,12,0.812641084,2,0.135440181,12,0.812641084,8
13-Jun,4,C,Pre-fertilization,Y,182,130,2.366,73,10.14967421,2,4-2,1236,951,0.769417476,19,1.19873817,4,0.252365931,11,0.694006309,12
13-Jun,5,C,Pre-fertilization,N,54,62,0.3348,32,1.518012665,1,5-1,1212,1039,0.857260726,40,2.309913378,5,0.288739172,14,0.808469682,14
14-Jun,6,D,Pre-fertilization,N,240,236,5.664,55,19.98756379,1,6-1,2002,1840,0.919080919,81,2.641304348,6,0.195652174,0,0,0
14-Jun,6,D,Pre-fertilization,N,240,236,5.664,55,19.98756379,2,6-2,2002,1120,0.559440559,56,3,5,0.267857143,4,0.214285714,0
14-Jun,7,D,Pre-fertilization,Y,191,42,0.8022,60,4.962604193,1,7-1,1353,1160,0.857354028,58,3,7,0.362068966,6,0.310344828,23
14-Jun,8,E,Pre-fertilization,Y,105,86,0.903,53,4.117055756,1,8-1,778,673,0.86503856,31,2.763744428,7,0.624071322,1,0.089153046,0
14-Jun,8,E,Pre-fertilization,Y,105,86,0.903,53,4.117055756,2,8-2,778,516,0.663239075,11,1.279069767,11,1.279069767,4,0.465116279,0
14-Jun,9,E,Pre-fertilization,N,145,89,1.2905,56,5.674494373,1,9-1,1922,1743,0.906867846,88,3.029259897,9,0.309810671,1,0.034423408,8
14-Jun,9,E,Pre-fertilization,N,145,89,1.2905,56,5.674494373,2,9-2,1922,1446,0.752341311,105,4.356846473,5,0.20746888,0,0,0
14-Jun,10,F,Pre-fertilization,Y,109,60,0.654,56,3.42344194,1,10-1,1824,1065,0.583881579,49,2.76056338,9,0.507042254,2,0.112676056,6
14-Jun,11,F,Pre-fertilization,N,124,76,0.9424,52,4.293681138,1,11-1,1579,1103,0.698543382,54,2.937443336,12,0.652765186,4,0.217588395,49
15-Jun,12,G,Pre-fertilization,N,182,149,2.7118,43,9.790839766,1,12-1,1417,1019,0.719124912,54,3.179587831,7,0.412168793,4,0.235525025,0
15-Jun,12,G,Pre-fertilization,N,182,149,2.7118,43,9.790839766,2,12-2,1417,920,0.649258998,54,3.52173913,10,0.652173913,1,0.065217391,0
15-Jun,12,G,Pre-fertilization,N,182,149,2.7118,43,9.790839766,3,12-3,1417,1185,0.836273818,98,4.962025316,17,0.860759494,5,0.253164557,0
15-Jun,13,G,Pre-fertilization,Y,125,96,1.2,39,4.665354308,1,13-1,1039,884,0.850818094,60,4.07239819,2,0.135746606,6,0.407239819,13
15-Jun,14,H,Pre-fertilization,Y,100,77,0.77,55,3.717282013,1,14-1,1735,1476,0.850720461,49,1.991869919,8,0.325203252,8,0.325203252,2
15-Jun,15,H,Pre-fertilization,N,145,120,1.74,69,7.714519272,1,15-1,1539,1362,0.884990253,83,3.656387665,1,0.044052863,2,0.088105727,7
15-Jun,16,I,Pre-fertilization,Y,172,116,1.9952,38,7.278588078,1,16-1,1222,914,0.747954174,24,1.575492341,1,0.065645514,1,0.065645514,4
